No.Kec,Ibu Kota Kabupaten,Kabupaten/Kota,Prov,Kec_Kab,Tujuan2,Tujuan1,Prov.1,Tujuan Pesawat,Uang Harian,Es. I,Es. II,Es. III/Gol/IV,Es.IV /Gol/III/II/I,FB,FD,P. Bisnis,P. Ekonomi,Airport Tax,Taxi Jakarta,Taxi Daerah,B,Dlm Kota,Diklat
452,Tamiang,Kab. Barito Timur,Kalimantan Tengah,"Tamiang, Kab. Barito Timur","Kab. Barito Timur, Kalteng","Tamiang, Kab. Barito Timur, Kalimantan Tengah",Kalteng,Palangka raya,360.000,4.901.000,3.391.000,1.160.000,659.000,130.000,95.000,4.984.000,2.984.000,55.000,0,0,0,140.000,110.000
453,Tanah Grogot,Kab. Paser,Kalimantan Timur,"Tanah Grogot, Kab. Paser","Kab. Paser, Kaltim","Tanah Grogot, Kab. Paser, Kalimantan Timur",Kaltim,Samarinda,430.000,4.000.000,2.188.000,1.507.000,804.000,130.000,95.000,7.412.000,3.797.000,115.000,0,0,0,170.000,130.000
454,Tanah Merah,Kab. Boven Digoel,Papua Selatan,"Tanah Merah, Kab. Boven Digoel","Kab. Boven Digoel, Pasel","Tanah Merah, Kab. Boven Digoel, Papua",Pasel,Merauke,580.000,5.673.000,4.877.000,3.706.000,1.526.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
455,Tangerang,Tangerang,Banten,Tangerang,"Tangerang, Banten","Tangerang, Banten",Banten,Serang,370.000,5.725.000,2.373.000,1.301.000,724.000,130.000,95.000,100.000,100.000,0,0,0,450.000,0,0
456,Tanjung,Kab. Lombok Utara,Nusa Tenggara Barat,"Tanjung, Kab. Lombok Utara","Kab. Lombok Utara, NTB","Tanjung, Kab. Lombok Utara, Nusa Tenggara Barat",NTB,Mataram,440.000,4.375.000,2.648.000,1.418.000,907.000,130.000,95.000,5.316.000,3.230.000,85.000,0,0,0,180.000,130.000
457,Tanjung Balai Karimun,Kab. Karimun,Kep. Riau,"Tanjung Balai Karimun, Kab. Karimun","Kab. Karimun, Kepulauan Riau","Tanjung Balai Karimun, Kab. Karimun, Kep. Riau",Kepulauan Riau,Tanjung Pinang,370.000,5.772.000,2.318.000,1.297.000,792.000,130.000,95.000,4.867.000,2.888.000,70.000,0,0,0,150.000,110.000
458,Tanjung Pandan,Kab. Belitung,Bangka Belitung,"Tanjung Pandan, Kab. Belitung","Kab. Belitung, Bangka Belitung","Tanjung Pandan, Kab. Belitung, Bangka Belitung",Bangka Belitung,Pangkal Pinang,410.000,4.134.000,2.838.000,1.957.000,676.000,130.000,95.000,3.412.000,2.139.000,60.000,0,0,0,160.000,120.000
459,Tanjung Pinang,Tanjung Pinang,Kep. Riau,Tanjung Pinang,"Tanjung Pinang, Kepulauan Riau","Tanjung Pinang, Kep. Riau",Kepulauan Riau,Tanjung Pinang,370.000,5.772.000,2.318.000,1.297.000,792.000,130.000,95.000,4.867.000,2.888.000,70.000,0,0,0,150.000,110.000
460,Tanjung.,Kab. Tabalong,Kalimantan Selatan,"Tanjung., Kab. Tabalong","Kab. Tabalong, Kalsel","Tanjung., Kab. Tabalong, Kalimantan Selatan",Kalsel,Banjarmasin,380.000,4.797.000,3.316.000,1.500.000,697.000,130.000,95.000,5.252.000,2.995.000,65.000,0,0,0,150.000,110.000
461,Tanjungbalai,Tanjungbalai,Sumatera Utara,Tanjungbalai,"Tanjungbalai, Sumut","Tanjungbalai, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
462,Tanjungredep,Kab. Berau,Kalimantan Timur,"Tanjungredep, Kab. Berau","Kab. Berau, Kaltim","Tanjungredep, Kab. Berau, Kalimantan Timur",Kaltim,Samarinda,430.000,4.000.000,2.188.000,1.507.000,804.000,130.000,95.000,7.412.000,3.797.000,115.000,0,0,0,170.000,130.000
463,Tanjungselor,Kab. Bulungan,Kalimantan Utara,"Tanjungselor, Kab. Bulungan","Kab. Bulungan, Kaltara","Tanjungselor, Kab. Bulungan, Kalimantan Utara",Kaltara,Tarakan,430.000,4.000.000,2.735.000,1.507.000,904.000,130.000,95.000,7.412.000,3.797.000,70.000,0,0,0,170.000,130.000
464,Tapak Tuan,Kab. Aceh Selatan,Aceh,"Tapak Tuan, Kab. Aceh Selatan","Kab. Aceh Selatan, Aceh","Tapak Tuan, Kab. Aceh Selatan, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
465,Tarakan,Tarakan,Kalimantan Utara,Tarakan,"Tarakan, Kaltara","Tarakan, Kalimantan Utara",Kaltara,Tarakan,430.000,4.000.000,2.735.000,1.507.000,904.000,130.000,95.000,7.412.000,3.797.000,70.000,0,0,0,170.000,130.000
466,Tarempa,Kab. Kep Anambas,Kep. Riau,"Tarempa, Kab. Kep Anambas","Kab. Kep Anambas, Kepulauan Riau","Tarempa, Kab. Kep Anambas, Kep. Riau",Kepulauan Riau,Tanjung Pinang,370.000,5.772.000,2.318.000,1.297.000,792.000,130.000,95.000,4.867.000,2.888.000,70.000,0,0,0,150.000,110.000
467,Tarutung,Kab. Tapanuli Utara,Sumatera Utara,"Tarutung, Kab. Tapanuli Utara","Kab. Tapanuli Utara, Sumut","Tarutung, Kab. Tapanuli Utara, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
468,Tasikmalaya,Tasikmalaya,Jawa Barat,Tasikmalaya,"Tasikmalaya, Jabar","Tasikmalaya, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,200.000,200.000,0,0,0,200.000,170.000,130.000
469,Tebing Tinggi,Tebing Tinggi,Sumatera Utara,Tebing Tinggi,"Tebing Tinggi, Sumut","Tebing Tinggi, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
470,Tebing Tinggi,Kab. Empat Lawang,Sumatera Selatan,"Tebing Tinggi, Kab. Empat Lawang","Kab. Empat Lawang, Sumsel","Tebing Tinggi, Kab. Empat Lawang, Sumatera Selatan",Sumsel,Palembang,380.000,6.298.000,3.083.000,1.966.000,861.000,130.000,95.000,3.861.000,2.268.000,75.000,0,0,0,150.000,110.000
471,Tegal,Tegal,Jawa Tengah,Tegal,"Tegal, Jateng","Tegal, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
472,Teluk Dalam,Kab. Nias Selatan,Sumatera Utara,"Teluk Dalam, Kab. Nias Selatan","Kab. Nias Selatan, Sumut","Teluk Dalam, Kab. Nias Selatan, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
473,Temanggung,Kab. Temanggung,Jawa Tengah,"Temanggung, Kab. Temanggung","Kab. Temanggung, Jateng","Temanggung, Kab. Temanggung, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.182.000,70.000,0,0,400.000,150.000,110.000
474,Tembilahan,Kab. Indragiri Hilir,Riau,"Tembilahan, Kab. Indragiri Hilir","Kab. Indragiri Hilir, Riau","Tembilahan, Kab. Indragiri Hilir, Riau",Riau,Pekanbaru,370.000,3.820.000,3.119.000,1.650.000,852.000,130.000,95.000,5.583.000,3.016.000,70.000,0,0,0,150.000,110.000
475,Teminabuan,Kab. Sorong Selatan,Papua Barat,"Teminabuan, Kab. Sorong Selatan","Kab. Sorong Selatan, Pabar","Teminabuan, Kab. Sorong Selatan, Papua Barat",Pabar,Manokwari,480.000,3.872.000,3.341.000,2.056.000,967.000,130.000,95.000,16.226.000,10.824.000,50.000,0,0,0,190.000,140.000
476,Tenggarong,Kab. Kutai Kartanegara,Kalimantan Timur,"Tenggarong, Kab. Kutai Kartanegara","Kab. Kutai Kartanegara, Kaltim","Tenggarong, Kab. Kutai Kartanegara, Kalimantan Timur",Kaltim,Samarinda,430.000,4.000.000,2.188.000,1.507.000,804.000,130.000,95.000,7.412.000,3.797.000,115.000,0,0,0,170.000,130.000
477,Ternate,Ternate,Maluku Utara,Ternate,"Ternate, Malut","Ternate, Maluku Utara",Malut,Sofifi,430.000,4.612.000,3.843.000,1.160.000,654.000,130.000,95.000,10.001.000,6.664.000,75.000,0,0,0,170.000,130.000
478,Tiakur Moa Lakor,Kab. Maluku Barat Daya,Maluku,"Tiakur Moa Lakor, Kab. Maluku Barat Daya","Kab. Maluku Barat Daya, Maluku","Tiakur Moa Lakor, Kab. Maluku Barat Daya, Maluku",Maluku,Ambon,380.000,3.467.000,3.240.000,1.059.000,667.000,130.000,95.000,13.285.000,7.081.000,70.000,0,0,0,150.000,110.000
479,Tideng Pale,Kab. Tana Tidung,Kalimantan Utara,"Tideng Pale, Kab. Tana Tidung","Kab. Tana Tidung, Kaltara","Tideng Pale, Kab. Tana Tidung, Kalimantan Utara",Kaltara,Tarakan,430.000,4.000.000,2.735.000,1.507.000,904.000,130.000,95.000,7.412.000,3.797.000,70.000,0,0,0,170.000,130.000
480,Tigaraksa,Kab. Tangerang,Banten,"Tigaraksa, Kab. Tangerang","Kab. Tangerang, Banten","Tigaraksa, Kab. Tangerang, Banten",Banten,Serang,370.000,5.725.000,2.373.000,1.301.000,724.000,130.000,95.000,100.000,100.000,0,0,0,0,0,0
481,Tigi,Kab. Deiyai,Papua Tengah,"Tigi, Kab. Deiyai","Kab. Deiyai, Pate","Tigi, Kab. Deiyai, Papua",Pate,Nabire,580.000,3.859.000,3.318.000,2.521.000,1.038.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
482,Tilamuta,Kabupaten Boalemo,Gorontalo,"Tilamuta, Kabupaten Boalemo","Kabupaten Boalemo, Gorontalo","Tilamuta, Kabupaten Boalemo, Gorontalo",Gorontalo,Gorontalo,370.000,4.168.000,3.107.000,1.606.000,955.000,130.000,95.000,7.231.000,4.824.000,60.000,0,0,0,150.000,110.000
483,Timika,Kab. Mimika,Papua Tengah,"Timika, Kab. Timika","Kab. Mimika, Pate","Timika, Kab. Timika, Papua",Pate,Nabire,580.000,3.859.000,3.318.000,2.521.000,1.038.000,130.000,95.000,13.830.000,7.487.000,70.000,0,0,0,230.000,170.000
484,Tiom,Kab. Lanny Jaya,Papua Pegunungan,"Tiom, Kab. Lanny Jaya","Kab. Lanny Jaya, Pagu","Tiom, Kab. Lanny Jaya, Papua",Pagu,Wamena,580.000,5.711.000,4.911.000,3.731.000,1.536.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
485,Tirawuta,Kab. Kolaka Timur,Sulawesi Tenggara,"Tirawuta, Kab. Kolaka Timur","Kab. Kolaka Timur, Sultra","Tirawuta, Kab. Kolaka Timur, Sulawesi Tenggara",Sultra,Kendari,380.000,3.089.000,2.574.000,1.297.000,786.000,130.000,95.000,7.658.000,4.182.000,51.000,0,0,0,150.000,110.000
486,Tobadak,Kab. Mamuju Tengah,Sulawesi Barat,"Tobadak, Kab. Mamuju Tengah","Kab. Mamuju Tengah, Sulbar","Tobadak, Kab. Mamuju Tengah, Sulawesi Barat",Sulbar,Mamuju,410.000,4.076.000,3.098.000,1.344.000,704.000,130.000,95.000,7.295.000,4.867.000,52.000,0,0,0,160.000,120.000
487,Tobelo,Kab. Halmahera Utara,Maluku Utara,"Tobelo, Kab. Halmahera Utara","Kab. Halmahera Utara, Malut","Tobelo, Kab. Halmahera Utara, Maluku Utara",Malut,Sofifi,430.000,4.612.000,3.843.000,1.160.000,654.000,130.000,95.000,10.001.000,6.664.000,75.000,0,0,0,170.000,130.000
488,Toboali,Kab. Bangka Barat,Bangka Belitung,"Toboali, Kab. Bangka Barat","Kab. Bangka Barat, Bangka Belitung","Toboali, Kab. Bangka Barat, Bangka Belitung",Bangka Belitung,Pangkal Pinang,410.000,4.134.000,2.838.000,1.957.000,676.000,130.000,95.000,3.412.000,2.139.000,60.000,0,0,0,160.000,120.000
489,Toli-toli,Kab. Toli-Toli,Sulawesi Tengah,"Toli-toli, Kab. Toli-Toli","Kab. Toli-Toli, Sulteng","Toli-toli, Kab. Toli-Toli, Sulawesi Tengah",Sulteng,Palu,370.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,9.348.000,5.113.000,55.000,0,0,0,150.000,110.000
490,Tomohon,Tomohon,Sulawesi Utara,Tomohon,"Tomohon, Sulut","Tomohon, Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
491,Tondano,Kab. Minahasa,Sulawesi Utara,"Tondano, Kab. Minahasa","Kab. Minahasa, Sulut","Tondano, Kab. Minahasa, Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
492,Trenggalek,Kab. Trenggalek,Jawa Timur,"Trenggalek, Kab. Trenggalek","Kab. Trenggalek, Jatim","Trenggalek, Kab. Trenggalek, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
493,Tuapejat,Kab. Kep. Mentawai,Sumatera Barat,"Tuapejat, Kab. Kep. Mentawai","Kab. Kep. Mentawai, Sumbar","Tuapejat, Kab. Kep. Mentawai, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
494,Tuban,Kab. Tuban,Jawa Timur,"Tuban, Kab. Tuban","Kab. Tuban, Jatim","Tuban, Kab. Tuban, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
495,Tulang Bawang Tengah,Kab. Tulang Bawang Barat,Lampung,"Tulang Bawang Tengah, Kab. Tulang Bawang Barat","Kab. Tulang Bawang Barat, Lampung","Tulang Bawang Tengah, Kab. Tulang Bawang Barat, Lampung",Lampung,Bandar Lampung,380.000,4.491.000,2.488.000,1.539.000,580.000,130.000,95.000,2.407.000,1.583.000,51.000,0,0,530.000,150.000,110.000
496,Tulungagung,Kab. Tulungagung,Jawa Timur,"Tulungagung, Kab. Tulungagung","Kab. Tulungagung, Jatim","Tulungagung, Kab. Tulungagung, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
497,Turikale,Kab. Maros,Sulawesi Selatan,"Turikale, Kab. Maros","Kab. Maros, Sulsel","Turikale, Kab. Maros, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
498,Tutuyan,Kab. Bolaang Mongondow Timur,Sulawesi Utara,"Tutuyan, Kab. Bolaang Mongondow Timur","Kab. Bolaang Mongondow Timur, Sulut","Tutuyan, Kab. Bolaang Mongondow Timur, Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
499,Ujung Tanjung,Kab. Rokan Hilir,Riau,"Ujung Tanjung, Kab. Rokan Hilir","Kab. Rokan Hilir, Riau","Ujung Tanjung, Kab. Rokan Hilir, Riau",Riau,Pekanbaru,370.000,3.820.000,3.119.000,1.650.000,852.000,130.000,95.000,5.583.000,3.016.000,70.000,0,0,0,150.000,110.000
500,Ulu,Ulu,Kalimantan Timur,Ulu,"Ulu, Kaltim","Ulu, Kalimantan Timur",Kaltim,Samarinda,430.000,4.000.000,2.188.000,1.507.000,804.000,130.000,95.000,7.412.000,3.797.000,115.000,0,0,0,170.000,130.000
501,Unaaha,Kab. Konawe,Sulawesi Tenggara,"Unaaha, Kab. Konawe","Kab. Konawe, Sultra","Unaaha, Kab. Konawe, Sulawesi Tenggara",Sultra,Kendari,380.000,3.089.000,2.574.000,1.297.000,786.000,130.000,95.000,7.658.000,4.182.000,51.000,0,0,0,150.000,110.000
502,Ungaran,Kab. Semarang,Jawa Tengah,"Ungaran, Kab. Semarang","Kab. Semarang, Jateng","Ungaran, Kab. Semarang, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.182.000,70.000,0,0,400.000,150.000,110.000
503,Waibakul,Kab. Sumba Tengah,Nusa Tenggara Timur,"Waibakul, Kab. Sumba Tengah","Kab. Sumba Tengah, NTT","Waibakul, Kab. Sumba Tengah, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
504,Waikabubak,Kab. Sumba Barat,Nusa Tenggara Timur,"Waikabubak, Kab. Sumba Barat","Kab. Sumba Barat, NTT","Waikabubak, Kab. Sumba Barat, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
505,Waingapu,Kab. Sumba Timur,Nusa Tenggara Timur,"Waingapu, Kab. Sumba Timur","Kab. Sumba Timur, NTT","Waingapu, Kab. Sumba Timur, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
506,Waisai,Kab. Raja Ampat,Papua Barat Daya,"Waisai, Kab. Raja Ampat","Kab. Raja Ampat, PBD","Waisai, Kab. Raja Ampat, Papua Barat",PBD,Sorong,480.000,3.872.000,3.341.000,2.056.000,967.000,130.000,95.000,16.226.000,10.824.000,50.000,0,0,0,190.000,140.000
507,Wamena,Kab. Jayawijaya,Papua Pegunungan,"Wamena, Kab. Jayawijaya","Kab. Jayawijaya, Pagu","Wamena, Kab. Jayawijaya, Papua",Pagu,Wamena,580.000,5.711.000,4.911.000,3.731.000,1.536.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
508,Wamena.,Wamena.,Papua Pegunungan,Wamena,"Wamena., Pagu","Wamena, Papua Pegunungan",Pagu,Wamena,580.000,5.711.000,4.911.000,3.731.000,1.536.000,130.000,95.000,16.226.000,10.824.000,50.000,0,0,0,230.000,170.000
509,Wanggudu,Kab. Konawe Utara,Sulawesi Tenggara,"Wanggudu, Kab. Konawe Utara","Kab. Konawe Utara, Sultra","Wanggudu, Kab. Konawe Utara, Sulawesi Tenggara",Sultra,Kendari,380.000,3.089.000,2.574.000,1.297.000,786.000,130.000,95.000,7.658.000,4.182.000,51.000,0,0,0,150.000,110.000
510,Wangi-wangi,Kab. Wakatobi,Sulawesi Tenggara,"Wangi-wangi, Kab. Wakatobi","Kab. Wakatobi, Sultra","Wangi-wangi, Kab. Wakatobi, Sulawesi Tenggara",Sultra,Kendari,380.000,3.089.000,2.574.000,1.297.000,786.000,130.000,95.000,7.658.000,4.182.000,51.000,0,0,0,150.000,110.000
511,Waris,Kab. Keerom,Papua,"Waris, Kab. Keerom","Kab. Keerom, Papua","Waris, Kab. Keerom, Papua",Papua,Jayapura,580.000,3.859.000,3.318.000,2.521.000,1.038.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
512,Watampone,Kab. Bone,Sulawesi Selatan,"Watampone, Kab. Bone","Kab. Bone, Sulsel","Watampone, Kab. Bone, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
513,Watan Soppeng,Kab. Soppeng,Sulawesi Selatan,"Watan Soppeng, Kab. Soppeng","Kab. Soppeng, Sulsel","Watan Soppeng, Kab. Soppeng, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
514,Wates,Kab. Kulon Progo,DI Yogyakarta,"Wates, Kab. Kulon Progo","Kab. Kulon Progo, D.I.Yogyakarta","Wates, Kab. Kulon Progo, DI Yogyakarta",D.I.Yogyakarta,Yogyakarta,420.000,5.017.000,2.695.000,1.495.000,845.000,130.000,95.000,4.107.000,2.268.000,75.000,0,0,680.000,170.000,130.000
515,Weda,Kab. Halmahera Tengah,Maluku Utara,"Weda, Kab. Halmahera Tengah","Kab. Halmahera Tengah, Malut","Weda, Kab. Halmahera Tengah, Maluku Utara",Malut,Sofifi,430.000,4.612.000,3.843.000,1.160.000,654.000,130.000,95.000,10.001.000,6.664.000,75.000,0,0,0,170.000,130.000
516,Wonogiri,Kab. Wonogiri,Jawa Tengah,"Wonogiri, Kab. Wonogiri","Kab. Wonogiri, Jateng","Wonogiri, Kab. Wonogiri, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
517,Wonosari,Kab. Gunung Kidul,DI Yogyakarta,"Wonosari, Kab. Gunung Kidul","Kab. Gunung Kidul, D.I.Yogyakarta","Wonosari, Kab. Gunung Kidul, DI Yogyakarta",D.I.Yogyakarta,Yogyakarta,420.000,5.017.000,2.695.000,1.495.000,845.000,130.000,95.000,4.107.000,2.268.000,75.000,0,0,680.000,170.000,130.000
518,Wonosobo,Kab. Wonosobo,Jawa Tengah,"Wonosobo, Kab. Wonosobo","Kab. Wonosobo, Jateng","Wonosobo, Kab. Wonosobo, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
519,Yogyakarta,Yogyakarta,DI Yogyakarta,Yogyakarta,"Yogyakarta, D.I.Yogyakarta","Yogyakarta, DI Yogyakarta",D.I.Yogyakarta,Yogyakarta,420.000,5.017.000,2.695.000,1.495.000,845.000,130.000,95.000,4.107.000,2.268.000,75.000,0,0,680.000,170.000,130.000
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,``,,,,,,,,,
